full_text;clean_text;sentiment;confidence;label_final
bapaku di negri sendiri bisa hasilin 75jt sebulan🙏 #staydinegaraasu;bapaku di negri sendiri bisa hasilin jt sebulan staydinegaraasu;positif;3378;negatif
pergi lah ke tempat dimana kau di hargai;pergi lah ke tempat dimana kamu di hargai;netral;3422;netral
iya bang q kmrn nyari kerja muter2 pdhl pingin bntu perekonomian kluarga tp susahnya 😭😭ya alloh..;iya bang q kemarin mencari kerja muter pdhl pingin bntu perekonomian keluarga tapi susahnya iya alloh;positif;3459;negatif
aamiinin aja dulu;aamiinin saja dulu;positif;3482;negatif
mau juga, tapi kehalang restu ortu😅;mau juga tapi kehalang restu orang tua;positif;3511;negatif
buat yg kerja di LN karena generasi sandwich, misal orang2 yg kalian tanggung ikut tinggal pindah brg kalian tapi ya ikut pindah aja, bukan ikut kerja, kalo di itung2 gaji kalian masih mencukupi dan tetep bisa nabung ga yaa?;buat yang kerja di ln karena generasi sandwich misal orang yang kalian tanggung ikut tinggal pindah bareng kalian tapi iya ikut pindah saja bukan ikut kerja kalau di hitung gaji kalian masih mencukupi dan tetep bisa nabung ga yaa;netral;352;negatif
kita ckup menonton ya?;kita ckup menonton iya;netral;3587;netral
Kalian kalo msh ada kesempatan buat milih kerja Mending kerja di luar negeri;kalian kalau masih ada kesempatan buat milih kerja lebih baik kerja di luar negeri;negatif;3597;negatif
yg masi belain prabowo apalagi pmerentah cobain dah kerja ato tinggal di luar negeri wkwkwkw;yang masi belain prabowo apalagi pmerentah cobain deh kerja atau tinggal di luar negeri wkwkwkw;negatif;3612;negatif
oke nice info bro makasih;oke nice informasi saudara laki-laki terima kasih;negatif;3642;negatif
kami nasionalisme terhadap tanah air bukan para pejabat😂;kami nasionalisme terhadap tanah air bukan para pejabat;netral;3707;netral
pngn tpi smih smp🗿;pngn tapi smih smp;netral;3743;netral
@st4rjuyz Iya juga sih tapi tergantung negara mana gitu dan bahasanya beda beda coba aja cari website khusus kerja di luar negeri di Google kan banyak;iya juga sih tapi tergantung negara mana gitu dan bahasanya beda beda coba saja cari website khusus kerja di luar negeri di google kan banyak;netral;3748;netral
pengen kabur tapi udh terlanjur kuliah smt 2, semoga bisa lulus tepat waktu abis itu cuss #kaburajadulu aamiin;pengen kabur tapi udh terlanjur kuliah smt semoga bisa lulus tepat waktu habis itu cuss kaburajadulu aamiin;negatif;3753;negatif
Sedang saya usahakan 😭Solusinya punya suami orang LN biar bisa bulak balik biar ga sengsara trus2an di indo🤣🤣;sedang saya usahakan solusinya punya suami orang ln biar bisa bulak balik biar ga sengsara trusan di indo;positif;3778;positif
paris🤍🧎‍♀️;paris;negatif;3786;netral
harus bisa semua skill kalo bisa bang wkwkwk🤣🤣🤣;harus bisa semua skill kalau bisa bang wkwkwk;positif;3809;positif
cita cita ku hidup 5thn dijepang tapi saat ini masih belum tercapai.;cita cita ku hidup tahun dijepang tapi saat ini masih belum tercapai;positif;3821;positif
bahkan dia sama kamu ga apple to apple 😌🤏🏻;bahkan dia sama kamu ga apple to apple;netral;3828;netral
Aku meh nyang pluto pan, tenang koyone 😭;aku meh nyang pluto pan tenang koyone;netral;3834;netral
oke sydney pemenangnya #KaburAjaDulu;oke sydney pemenangnya kaburajadulu;negatif;3853;negatif
mau juga tp, 🫴🏻💵;mau juga tapi;positif;387;netral
Banyak banget yang tanya Kak ngurusin berkas Ausbildung tuh ribet ya? Jujur prosesnya emang agak bikin clueless kalau ngurusinnya sendirian Tapi sini deh yuk kita bahas! #workabroad #kerjaluarnegeri #kaburajadulu #kerjajerman;banyak banget yang tanya kak ngurusin berkas ausbildung tuh ribet iya jujur prosesnya emang agak bikin clueless kalau ngurusinnya sendirian tapi sini deh yuk kita bahas workabroad kerjaluarnegeri kaburajadulu kerjajerman;negatif;388;negatif
opini ku,kita perbaiki Indonesia jangan ninggalin Indonesia hanya karna negara kita lagi menghadapi masalah,Jangan bandingin negara indo lain kita perbaiki sama² lebih bijak memilih pemerintah;opini ku kita perbaiki indonesia jangan ninggalin indonesia hanya karena negara kita lagi menghadapi masalah jangan bandingin negara indo lain kita perbaiki sama² lebih bijak memilih pemerintah;positif;3888;positif
ni ada studytwt tpi khusus buat fokus ngincer S2 di luar negeri kah? I seriously considering S2 abroad buat #kaburajadulu;ini ada studytwt tapi khusus buat fokus ngincer s di luar negeri kah i seriously considering s abroad buat kaburajadulu;netral;3892;netral
@worksfess Mending freelance luar negeri aja nder temenku ada dan kerja di rumah lg.;lebih baik freelance luar negeri saja nder temenku ada dan kerja di rumah lagi;netral;3893;negatif
#KaburAjaDulu pernah ramai beberapa waktu lalu aku pun pernah mencobanya berharap hidup jadi lebih baik. Tapi sebenarnya apakah kabur adalah solusi yang tepat? Baca artikel Edwin selengkapnya di: https://t.co/UahGFOeLmL;kaburajadulu pernah ramai beberapa waktu lalu aku pun pernah mencobanya berharap hidup jadi lebih baik tapi sebenarnya apakah kabur adalah solusi yang tepat baca artikel edwin selengkapnya di;positif;3896;netral
kata gua mba kun mas poci sama mbah wewe gombel mending #KaburAjaDulu deh;kata saya mbak kun mas poci sama mbah wewe gombel lebih baik kaburajadulu deh;negatif;3908;negatif
ini ni👍;ini ini;netral;3911;netral
"Padahal gampang kok menjadikan Indonesia sejahtera. gratiskan mereka yang ingin kerja ke luar Negeri. TKI &amp; TKW yang pulang dapat diskon pajak. Gastrodiplomacy. STOP MBG Dorong PEMDA untuk perbaiki jalan &amp; jembatan. promosikan wisata lokal. tambah beasiswa";padahal gampang kok menjadikan indonesia sejahtera gratiskan mereka yang ingin kerja ke luar negeri tki amp tkw yang pulang dapat diskon pajak gastrodiplomacy stop mbg dorong pemerintah daerah untuk perbaiki jalan amp jembatan promosikan wisata lokal tambah beasiswa;positif;3934;positif
kerja di luar negeri itu bukan soal gaji lebih tinggi pengeluaran lebih tinggi, tp liat gimana fasilitas yang pemerintah sana berikan untuk warganya. dari sektor pendidikan, faskes, transum dll;kerja di luar negeri itu bukan soal gaji lebih tinggi pengeluaran lebih tinggi tapi lihat bagaimana fasilitas yang pemerintah sana berikan untuk warganya dari sektor pendidikan faskes transum dan lain-lain;netral;3939;positif
Long tweet: Aksesibilitas Web modal #kaburajadulu Okay satu hal yang berbeda dengan ngikutin tutorial React buatan luar dengan tutorial dari dalam negeri adalah: di setiap fase dikasih tau soal aksesibilitas dari komponen yang bersangkutan gimana nambah aria dan bahkan https://t.co/sSV0yPXfd3;long tweet aksesibilitas web modal kaburajadulu okay satu hal yang berbeda dengan ngikutin tutorial react buatan luar dengan tutorial dari dalam negeri adalah di setiap fase dikasih tahu soal aksesibilitas dari komponen yang bersangkutan bagaimana nambah aria dan bahkan;positif;3954;netral
bukan trem tapi kemauan diri sendiri;bukan trem tapi kemauan diri sendiri;netral;3964;netral
Sebenernya umr aja cukup bng istri sama buat beli rumah yg menting tau takaran gaya kita dan circle kita bng cmiiw;sebenernya umr saja cukup bng istri sama buat beli rumah yang menting tahu takaran gaya kita dan circle kita bng correct me if i'm wrong;positif;397;positif
loh #KaburAjaDulu kan inspirasinya dari lu sendiri pas kabur ke Yordania https://t.co/D9gbLRnsYM;loh kaburajadulu kan inspirasinya dari kamu sendiri pas kabur ke yordania;positif;3976;negatif
@tanyarlfes Kalo ada kesempatan ke luar negeri (should be trusted ya please hati-hati) mending #kaburajadulu nder;kalau ada kesempatan ke luar negeri should be trusted iya please hati hati lebih baik kaburajadulu nder;netral;398;positif
ikut, gua mau kek negara Amerika;ikut saya mau seperti negara amerika;negatif;4009;negatif
Bissmillahirrahmanirrahim! akhir bulan COE turun sekalian visa. Gasss jepanggg😇 #kaburajadulu;bissmillahirrahmanirrahim akhir bulan coe turun sekalian visa gasss jepanggg kaburajadulu;positif;4023;positif
Kak semua orang bayar pajak, how to be respect, thats it. Attitude itu modal paling awal apalagi kalau kamu mau pergi ke luar negri;kak semua orang bayar pajak how to be respect thats it attitude itu modal paling awal apalagi kalau kamu mau pergi ke luar negri;negatif;4028;negatif
Lah Bang samaa. Ya Allah izinkan hamba buat #kaburajadulu;lah bang samaa iya allah izinkan hamba buat kaburajadulu;negatif;4044;negatif
ngasih kesempatan buat sampah bisa naik keatas tanpa persaingan;memberikan kesempatan buat sampah bisa naik keatas tanpa persaingan;netral;4044;negatif
@ThatSun510 @truthspace_ @hanan052020 @wannafigh yg belum bersih itu biasanya yang baru2 #kaburajadulu dan yang mau dan bisa membaur ama lokal.;yang belum bersih itu biasanya yang baru kaburajadulu dan yang mau dan bisa membaur sama lokal;negatif;4048;negatif
gak punya duit tapi pingin kaburajadulu ayo belajar sampe bisa dapetin beasiswa dari luar 🙂;gak punya duit tapi pingin kaburajadulu ayo belajar sampai bisa dapetin beasiswa dari luar;positif;4052;positif
iya bner termasuk sy ..;iya bner termasuk saya;netral;4052;netral
setalah mendengar berita itu, semangat ku untuk mengejar cita² ku menjadi semakin tinggi.;setalah mendengar berita itu semangat ku untuk mengejar cita² ku menjadi semakin tinggi;netral;406;positif
Udah kelar tinggal nyari kerja ke luar negeri untuk mengurangi pengangguran di Indonesia https://t.co/eXzVdH1jZQ;sudah kelar tinggal mencari kerja ke luar negeri untuk mengurangi pengangguran di indonesia;netral;4081;positif
gwa juga pengin tapi gwa lidah jawa;gwa juga pengin tapi gwa lidah jawa;negatif;4091;netral
anda selamat bang, disini 30th dh brasa jompo. mna serba pke duit mlu 😭😭😭;anda selamat bang disini th dh brasa jompo mna serba pke duit mlu;negatif;4115;negatif
So perkenalkan ini teman lama saya. Pernah viral dan dimuat di majalah Chip sebagai freelancer 50 jt . Dulu ketemu ama beliau di Sabuga. Dulunya WebDev (dan mungkin masih) tapi setelah #KaburAjaDulu ke Talinn🇪🇪 ternyata malah ngerjain aplikasi dan bikin device untuk musik.;so perkenalkan ini teman lama saya pernah viral dan dimuat di majalah chip sebagai freelancer jt dulu ketemu sama beliau di sabuga dulunya webdev dan mungkin masih tapi setelah kaburajadulu ke talinn ternyata bahkan ngerjain aplikasi dan bikin device untuk musik;netral;4127;netral
@Franken_blues #kaburajadulu yg penting umroh :);kaburajadulu yang penting umroh;positif;4134;positif
gaji umr, tapi skillnya harus bisa mengendalikan air,api,angin,dan tanah🥲;gaji umr tapi skillnya harus bisa mengendalikan air api angin dan tanah;positif;4138;negatif
"#kaburajadulu❌
#wajibkabur✔️";kaburajadulu wajibkabur;negatif;4146;negatif
Wkwkwk bener banget, klo bs cabut ya mending cabut dr Indo;wkwkwk benar banget kalau bisa pergi iya lebih baik pergi dr indo;negatif;4147;negatif
@NanangIndra11 @DokterTifa @prabowo Yang bikin 100 pabrik investasi luar negeri itu presiden dan wapres.. 100 pabrik itu bakal ada tenaga kerja kang ojek warung nasi sekitar pabrik dan semua sektor ekonomi lainnya Anggaran MBG 300T bisa buat 100 pabrik bang;yang bikin pabrik investasi luar negeri itu presiden dan wapres pabrik itu bakal ada tenaga kerja kang ojek warung nasi sekitar pabrik dan semua sektor ekonomi lainnya anggaran mbg t bisa buat pabrik bang;positif;4156;positif
bang ikut ndong😭😭😭;bang ikut ndong;netral;417;netral
@hansdavidian alumnus pertama #KaburAjaDulu;alumnus pertama kaburajadulu;netral;4172;netral
WFHnya keluar negeri ya pak #KaburAjaDulu;wfhnya keluar negeri iya pak kaburajadulu;negatif;4177;netral
mending fokusin buat kerja ke luar negeri atau kuliah di ut sambil kerja;lebih baik fokusin buat kerja ke luar negeri atau kuliah di ut sambil kerja;netral;4184;netral
yok penuhin luar negri dengan semua orang indo🗿🗿;yok penuhin luar negri dengan semua orang indo;negatif;4185;negatif
inget yang punya orang tua woii;inget yang punya orang tua woii;positif;419;netral
@pandanlafte Skrg spesifikasi lamaran kerjaan makin makin mana ga bisa dipake langsung kalo mau kerja di luar negeri kayaknya lebih gampang jadi anggota lembaga legislatif yak drpd kerja sesuai jurusan ;skrg spesifikasi lamaran kerjaan makin makin mana ga bisa dipake langsung kalau mau kerja di luar negeri kayaknya lebih gampang jadi anggota lembaga legislatif yak drpd kerja sesuai jurusan;negatif;4194;negatif
Mintanya pengalaman, kalo gitu semua lah yg freshgraduate mau dapat pengalaman dimana 😭 blm ada umur dll juga;mintanya pengalaman kalau gitu semua lah yang freshgraduate mau dapat pengalaman dimana belum ada umur dan lain-lain juga;positif;4194;negatif
@worksfess Nyari kerja di Luar negeri ga semudah itu bahasa bisa dipelajari;mencari kerja di luar negeri ga semudah itu bahasa bisa dipelajari;negatif;4195;negatif
Cone toll🗿🗿;cone toll;netral;4196;netral
ngerti bahasa thailand gak?;mengerti bahasa thailand gak;positif;4198;netral
sama lgi bg;sama lagi abang;positif;4205;netral
